county    metstandard    percentms 
Adams        0             43.8       
Adams        1             33.3       
Adams        1             41.7       
Asotin       0             50.0       
Asotin       0             69.8       
Asotin       1             72.2       
Benton       0             62.5       
Benton       1             65.8       
Benton       1             74.0       
Benton       0             55.6       
Benton       0             66.7       
Benton       0             66.7       
Benton       1             68.2       
Benton       1             62.7       
Chelan       0             70.0       
Chelan       0             62.5       
Chelan       1             65.4       
Chelan       0             62.1       
Chelan       0             54.5       
Chelan       0             50.0       
Chelan       0             57.4       
Clallam      1             66.2       
Clallam      0             63.2       
Clallam      0             77.8       
Clallam      0             48.1       
Clallam      0             28.1       
Clallam      1             42.9       
Clallam      0             46.7       
Clark        1             77.5       
Clark        0             58.1       
Clark        0             68.8       
Clark        1             71.9       
Clark        0             64.7       
Clark        1             60.0       
Clark        1             73.9       
Clark        0            100.0       
Clark        1             62.0       
Clark        1             66.4       
Clark        1             71.9       
Clark        0             60.5       
Clark        0             54.8       
Clark        0             60.7       
Clark        1             56.7       
Clark        0             68.4       
Clark        1             71.4       
Columbia     1             43.5       
Cowlitz      0             72.2       
Cowlitz      1             69.2       
Cowlitz      0             89.5       
Cowlitz      0             67.7       
Cowlitz      1             66.7       
Cowlitz      0             50.0       
Cowlitz      1             70.6       
Cowlitz      0             65.9       
Douglas      0             50.0       
Douglas      0             80.0       
Douglas      0             50.0       
Ferry        0             55.0       
Ferry        0             72.7       
Ferry        0             66.7       
Franklin     0             64.3       
Franklin     0             53.3       
Franklin     1             65.7       
Franklin     0             53.8       
Garfield     0             73.3       
Grant        0             57.6       
Grant        0             56.4       
Grant        0             76.0       
Grant        1             62.5       
Grant        0             31.6       
Grant        0             39.1       
Grant        0             77.8       
Grant        1             56.1       
Grant        0             77.8       
Grant        0             57.9       
Grays Harbor 0             51.7       
Grays Harbor 0             43.8       
Grays Harbor 0             53.8       
Grays Harbor 0             31.8       
Grays Harbor 1             67.6       
Grays Harbor 0             75.6       
Grays Harbor 0             42.9       
Grays Harbor 1             68.0       
Grays Harbor 0             68.8       
Island       0             60.5       
Island       1             73.1       
Island       1             61.0       
Jefferson    1             45.5       
Jefferson    1             65.4       
Jefferson    1             53.1       
King         1             75.0       
King         0             59.7       
King         1             65.1       
King         0             56.7       
King         1             65.4       
King         1             60.6       
King         0             82.9       
King         0             62.2       
King         1             67.7       
King         0             65.4       
King         1             70.4       
King         1             57.1       
King         0             65.8       
King         1             76.9       
King         0             58.0       
King         1             48.3       
King         1             53.4       
King         0             50.0       
King         1             62.0       
King         1             79.1       
King         0             48.5       
King         0             66.4       
King         0             51.7       
King         0             68.4       
King         1             64.7       
King         0             38.5       
King         0             50.9       
King         0             45.7       
King         0             54.2       
King         1             61.3       
King         1             52.2       
King         1             62.0       
King         1             57.7       
King         0             61.0       
King         1             50.0       
King         0             66.7       
King         0             59.4       
King         1             58.8       
King         1             69.7       
King         0             50.0       
King         1             61.5       
King         0             77.8       
King         1             59.0       
King         1             57.6       
King         1             61.7       
King         1             71.8       
King         1             69.6       
King         1             63.2       
King         0             37.5       
King         1             50.0       
King         1             57.9       
King         1             48.5       
King         0             20.0       
King         1             61.3       
King         0             52.7       
King         1             59.4       
King         1             62.7       
King         1             57.3       
King         1             67.4       
King         1             69.9       
King         1             64.0       
Kitsap       0             56.1       
Kitsap       1             79.5       
Kitsap       0             71.4       
Kitsap       0             62.5       
Kitsap       1             61.0       
Kitsap       1             56.9       
Kitsap       1             65.7       
Kitsap       1             65.6       
Kitsap       0             66.4       
Kittitas     1             62.0       
Kittitas     0             61.1       
Kittitas     0             50.0       
Klickitat    1             66.7       
Klickitat    0             73.9       
Klickitat    1             56.5       
Klickitat    0             33.3       
Lewis        1             70.8       
Lewis        0             69.6       
Lewis        0             47.1       
Lewis        0             80.0       
Lewis        0             75.0       
Lewis        0             76.2       
Lewis        0             63.6       
Lewis        1             71.4       
Lewis        1             83.0       
Lewis        0             45.8       
Lewis        0             54.1       
Lincoln      0             57.9       
Lincoln      0             62.5       
Lincoln      1             84.2       
Lincoln      0             69.2       
Lincoln      0             65.0       
Mason        0             45.2       
Mason        0             50.0       
Mason        1             72.7       
Mason        0             50.0       
Mason        1             68.2       
Okanogan     0             51.4       
Okanogan     0             51.9       
Okanogan     0             68.4       
Okanogan     1             61.5       
Okanogan     1             70.0       
Okanogan     0             57.7       
Okanogan     0             59.1       
Pacific      0             27.3       
Pacific      1             68.4       
Pacific      0             63.6       
Pacific      0             56.5       
Pend Oreille 1             61.8       
Pend Oreille 0             58.3       
Pend Oreille 1             70.6       
Pierce       0             50.0       
Pierce       0             58.3       
Pierce       1             62.6       
Pierce       0             43.8       
Pierce       0             59.1       
Pierce       1             51.2       
Pierce       0             43.0       
Pierce       0             55.1       
Pierce       0             40.4       
Pierce       0             58.0       
Pierce       0             50.0       
Pierce       1             63.5       
Pierce       1             56.4       
Pierce       0             52.8       
Pierce       0             61.3       
Pierce       0             51.4       
Pierce       0             58.3       
Pierce       1             70.0       
Pierce       1             73.8       
Pierce       0             44.2       
Pierce       0             66.7       
Pierce       0             57.0       
Pierce       0             65.3       
Pierce       0             66.7       
Pierce       0             72.2       
Pierce       1             60.4       
San Juan     1             36.8       
San Juan     1             70.0       
San Juan     1             77.8       
Skagit       0             50.0       
Skagit       1             67.7       
Skagit       0             68.8       
Skagit       1             59.7       
Skagit       1             55.8       
Skagit       1             71.4       
Skagit       0             65.5       
Skamania     0             72.7       
Snohomish    0             50.6       
Snohomish    0             54.5       
Snohomish    0             58.8       
Snohomish    1             65.9       
Snohomish    1             62.9       
Snohomish    0             71.4       
Snohomish    0             54.7       
Snohomish    1             54.7       
Snohomish    1             69.6       
Snohomish    1             74.0       
Snohomish    1             63.4       
Snohomish    1             69.0       
Snohomish    0             66.7       
Snohomish    0             33.3       
Snohomish    1             55.7       
Snohomish    0             63.6       
Snohomish    0             80.0       
Snohomish    0             53.2       
Snohomish    0             58.3       
Snohomish    0             63.6       
Snohomish    0            100.0       
Snohomish    0             70.5       
Snohomish    1             62.5       
Snohomish    1             61.1       
Snohomish    0             43.3       
Snohomish    1             63.2       
Snohomish    0             63.2       
Snohomish    1             82.0       
Spokane      0             67.8       
Spokane      1             65.0       
Spokane      0             68.7       
Spokane      1             67.4       
Spokane      0             56.3       
Spokane      1             68.1       
Spokane      1             59.5       
Spokane      0             61.1       
Spokane      0             85.7       
Spokane      0             50.0       
Spokane      1             77.6       
Spokane      1             62.5       
Spokane      1             64.4       
Spokane      1             69.6       
Spokane      0             61.5       
Spokane      1             76.9       
Spokane      0            100.0       
Spokane      1             74.2       
Spokane      1             73.6       
Spokane      0             73.3       
Spokane      0             92.3       
Spokane      0             57.1       
Spokane      0             71.9       
Spokane      1             65.7       
Stevens      1             73.1       
Stevens      0             65.2       
Stevens      1             66.7       
Stevens      1             65.0       
Stevens      0             40.0       
Stevens      1             50.0       
Stevens      0             70.6       
Thurston     1             58.2       
Thurston     0             55.8       
Thurston     0             71.4       
Thurston     0             75.0       
Thurston     1             53.6       
Thurston     1             71.9       
Thurston     1             60.3       
Thurston     0             57.1       
Thurston     1             71.0       
Thurston     1             66.7       
Thurston     1             65.7       
Thurston     1             64.5       
Thurston     0             51.9       
Wahkiakum    0             69.2       
Walla Walla  0             85.7       
Walla Walla  1             76.7       
Walla Walla  0            100.0       
